game,top_b_champ,jgl_b_champ,mid_b_champ,mid_b_dmgtaken,adc_b_champ,supp_b_champ,supp_b_vs,b_win,top_r_champ,jgl_r_champ,mid_r_champ,mid_r_dmgtaken,adc_r_champ,supp_r_champ,supp_r_vs,r_win
EUW1_6346459509,Karma,Corki,Shaco,45957.0,Mordekaiser,Varus,0.0,False,Akali,Lucian,Zed,46624.0,Gangplank,Karthus,0.0,True
EUW1_6346412630,Yasuo,Graves,Rell,33326.0,Nautilus,Ziggs,0.0,True,Tristana,Leblanc,Gnar,38566.0,Orianna,Yuumi,0.0,False
EUW1_6346372891,Malphite,Azir,Brand,31964.0,MissFortune,MasterYi,0.0,False,Sivir,Annie,Corki,21471.0,Jax,Maokai,0.0,True
EUW1_6346361040,Kayn,Gnar,Karma,0.0,Nami,Kalista,0.0,False,Lillia,Darius,Gwen,2007.0,Diana,Varus,0.0,True
EUW1_6346331917,Graves,Kaisa,Milio,20241.0,Soraka,Belveth,0.0,False,Twitch,LeeSin,Senna,19725.0,Jinx,Lucian,0.0,True
EUW1_6346393340,Malphite,Jayce,Poppy,19678.0,Xayah,Pantheon,17.0,False,Irelia,Zed,Talon,14347.0,Ziggs,Morgana,39.0,True
EUW1_6344836782,Gangplank,Udyr,Talon,16770.0,Ashe,Braum,36.0,False,Jax,Kayn,Ahri,10944.0,Tristana,Taric,53.0,True
EUW1_6343026571,Irelia,LeeSin,Swain,46742.0,Zeri,Zilean,83.0,True,Sett,Talon,Veigar,30960.0,Varus,Heimerdinger,121.0,False
EUW1_6342934990,Akali,MonkeyKing,Tristana,31159.0,Zeri,Rakan,125.0,False,Poppy,Gragas,Talon,25116.0,Jinx,Senna,103.0,True
EUW1_6342902601,Yasuo,Talon,Thresh,8270.0,Jinx,Zoe,12.0,True,Gnar,Nunu,Yone,21524.0,Aphelios,Nautilus,22.0,False
EUW1_6346434987,Taric,Hecarim,Veigar,22776.0,Twitch,Karma,54.0,True,Gnar,Viego,Zoe,19956.0,Ezreal,Pyke,82.0,False
EUW1_6345121966,Nasus,LeeSin,Sylas,31381.0,Ezreal,Senna,59.0,True,Kennen,Hecarim,Jayce,27056.0,Varus,Nautilus,64.0,False
EUW1_6345008683,Illaoi,JarvanIV,Ahri,17205.0,Jinx,Thresh,38.0,False,Viego,Zac,Leblanc,10966.0,Ezreal,Lulu,41.0,True
EUW1_6344904784,Riven,Zac,Lulu,18818.0,Jinx,Zoe,28.0,False,Renekton,XinZhao,Galio,34949.0,Zeri,Annie,100.0,True
EUW1_6344830307,Illaoi,Belveth,Zoe,12814.0,Zeri,Blitzcrank,46.0,True,Kennen,Thresh,Kassadin,23502.0,Jinx,LeeSin,12.0,False
EUW1_6344236027,Yone,Karthus,Gwen,9656.0,Zeri,Nautilus,21.0,False,Irelia,MasterYi,AurelionSol,6209.0,Yasuo,Alistar,15.0,True
EUW1_6344179431,Poppy,Nidalee,Zed,41591.0,Jinx,Milio,131.0,True,Kennen,MonkeyKing,Yone,42118.0,Zeri,Rakan,119.0,False
EUW1_6338196998,Gragas,LeeSin,Jayce,17245.0,Zeri,Annie,47.0,True,Sejuani,FiddleSticks,Talon,22774.0,Kalista,Nautilus,88.0,False
EUW1_6338123459,Kennen,JarvanIV,Yone,29590.0,Zeri,Rakan,106.0,True,DrMundo,MonkeyKing,Veigar,28260.0,Twitch,Lulu,62.0,False
EUW1_6336668598,Jax,Belveth,Viktor,22737.0,Xayah,Annie,81.0,False,Olaf,Kayn,Akali,41358.0,Jinx,Thresh,75.0,True
EUW1_6346439425,Akali,LeeSin,Lissandra,20056.0,Xayah,Alistar,33.0,False,Darius,Evelynn,Viktor,13262.0,Zeri,Nautilus,52.0,True
EUW1_6346378859,Akali,Vi,Kassadin,35672.0,Zeri,Rakan,80.0,True,Olaf,MasterYi,Leblanc,24951.0,Ezreal,Annie,73.0,False
EUW1_6346311984,Pantheon,Hecarim,Orianna,20337.0,Seraphine,Senna,21.0,False,Riven,Evelynn,Swain,23897.0,Aphelios,Nautilus,42.0,True
EUW1_6346251764,Kennen,Zac,Tristana,15128.0,Ezreal,Karma,86.0,True,Akali,Belveth,Talon,23195.0,Zeri,Leona,80.0,False
EUW1_6346170926,KSante,Rengar,Orianna,27381.0,Jinx,Braum,68.0,False,Kennen,Hecarim,Ahri,22246.0,Draven,Nautilus,81.0,True
EUW1_6343359400,Ornn,Elise,Qiyana,19587.0,Xayah,Nautilus,59.0,False,Sett,MonkeyKing,Ahri,21728.0,Zeri,Rakan,77.0,True
EUW1_6343297347,Malphite,Viego,Zoe,10708.0,Xayah,Rakan,44.0,True,Sion,Udyr,Zed,18127.0,Zeri,Heimerdinger,40.0,False
EUW1_6343224680,Singed,Gragas,Zed,33029.0,Varus,Karma,115.0,False,DrMundo,Hecarim,KSante,40507.0,Yasuo,Annie,111.0,True
EUW1_6341831666,Gnar,Elise,Teemo,14914.0,Yasuo,Malphite,45.0,True,Olaf,LeeSin,Viktor,17478.0,Zeri,Milio,55.0,False
EUW1_6341771335,Garen,Elise,Zoe,7545.0,Zeri,Rakan,31.0,True,Riven,Gragas,Yasuo,15553.0,Kaisa,Nautilus,44.0,False
EUW1_6344246735,Gragas,Hecarim,Ekko,28879.0,Jinx,Milio,78.0,False,Akshan,Mordekaiser,Qiyana,24296.0,Twitch,Pyke,102.0,True
EUW1_6344191718,Irelia,Hecarim,Malzahar,20252.0,Jinx,Bard,85.0,False,Gwen,Talon,Zed,24596.0,Seraphine,Nautilus,89.0,True
EUW1_6344160620,Jayce,Maokai,Fizz,15853.0,Kaisa,Nautilus,56.0,True,Camille,Viego,Katarina,28192.0,Yasuo,Blitzcrank,52.0,False
EUW1_6344109790,Trundle,Mordekaiser,Zed,14126.0,Kalista,Rakan,30.0,False,Vayne,JarvanIV,Vladimir,16319.0,Xayah,Yuumi,25.0,True
EUW1_6344059978,Gwen,Nidalee,Vayne,13522.0,Jinx,Blitzcrank,38.0,True,Akshan,Graves,Chogath,23307.0,Twitch,Milio,40.0,False
EUW1_6341111512,Kled,Gragas,Annie,25586.0,Sivir,Janna,93.0,True,Ezreal,XinZhao,Ryze,34397.0,Jax,Pantheon,66.0,False
EUW1_6341101797,Kennen,JarvanIV,Irelia,18906.0,Jinx,Sona,28.0,False,Camille,LeeSin,Nunu,18507.0,Ashe,Twitch,44.0,True
EUW1_6341091941,Camille,Gragas,Yone,31307.0,Nasus,Senna,60.0,True,Fiora,Udyr,Malphite,32573.0,Ezreal,Twitch,90.0,False
EUW1_6341083837,Riven,Graves,Orianna,6654.0,Jinx,Sona,23.0,False,KSante,Kindred,Malphite,7415.0,Twitch,Lulu,37.0,True
EUW1_6341075020,Camille,Gragas,Malzahar,6180.0,Xayah,Janna,65.0,True,Riven,MonkeyKing,Malphite,15545.0,Ashe,Lux,29.0,False
EUW1_6335799683,Yasuo,Zac,Leblanc,26483.0,Kaisa,Milio,69.0,False,Jayce,Viego,Singed,33983.0,Aphelios,Pyke,106.0,True
EUW1_6335751894,Riven,Viego,TwistedFate,9974.0,Xayah,Senna,18.0,False,LeeSin,Sejuani,Leblanc,4690.0,Varus,Rakan,22.0,True
EUW1_6331771002,Olaf,LeeSin,Malphite,10930.0,Lucian,Nami,23.0,False,Irelia,XinZhao,Ryze,10974.0,Jinx,Karma,34.0,True
EUW1_6331693375,Irelia,MonkeyKing,Akali,33151.0,Caitlyn,Annie,61.0,False,Jax,Viego,AurelionSol,14255.0,Lucian,Milio,63.0,True
EUW1_6331642759,Riven,LeeSin,Kassadin,22974.0,Xayah,Annie,42.0,False,Malphite,Viego,Ahri,15268.0,Jinx,Thresh,33.0,True
EUW1_6345897777,Riven,Viego,Zoe,22338.0,Zeri,Milio,76.0,False,Darius,LeeSin,Annie,15141.0,Veigar,Soraka,72.0,True
EUW1_6345845427,Gragas,Gwen,Jayce,23011.0,Jinx,Thresh,62.0,False,Kennen,JarvanIV,Ahri,22727.0,Xayah,Nautilus,46.0,True
EUW1_6342273984,Ornn,MonkeyKing,Taliyah,28655.0,Twitch,Rakan,90.0,True,Yone,Vi,Ahri,30015.0,Jinx,Nautilus,97.0,False
EUW1_6342164347,Fiora,LeeSin,Akali,27533.0,Jinx,Thresh,61.0,False,Gragas,Hecarim,Gwen,29917.0,Xayah,Blitzcrank,58.0,True
EUW1_6342099904,Malphite,Gragas,Qiyana,24161.0,Jinx,Annie,81.0,True,Mordekaiser,Vi,Zed,24290.0,Lucian,Nami,71.0,False
EUW1_6345343156,Fiora,Elise,Talon,27455.0,Veigar,Annie,83.0,False,Akshan,Mordekaiser,Leblanc,17279.0,Xayah,Rakan,116.0,True
EUW1_6345245497,Yone,MasterYi,Leblanc,16312.0,Zeri,Lulu,37.0,True,Pantheon,LeeSin,Lissandra,20252.0,Aphelios,Thresh,60.0,False
EUW1_6345152254,Jax,Viego,Gwen,37043.0,Ezreal,Nautilus,61.0,False,Darius,Udyr,TwistedFate,23133.0,Kaisa,Rell,51.0,True
EUW1_6345076281,Annie,Zed,Velkoz,4151.0,Twitch,Milio,38.0,True,Irelia,Graves,Akali,15968.0,Xayah,Pyke,48.0,False
EUW1_6345001184,Garen,LeeSin,Fizz,25675.0,Jinx,Rakan,99.0,False,Kayle,Zed,Gragas,31733.0,Kaisa,Nautilus,94.0,True
EUW1_6339875523,KSante,JarvanIV,Tristana,7681.0,Cassiopeia,Twitch,18.0,True,Aatrox,Nocturne,Leona,8337.0,Kaisa,Viktor,6.0,False
EUW1_6339693866,Sett,Sejuani,Katarina,13644.0,Xayah,Milio,68.0,True,Jax,MonkeyKing,Xerath,7007.0,Ashe,Pyke,42.0,False
EUW1_6336885034,Jax,Nidalee,Tristana,12915.0,Kaisa,Nautilus,47.0,False,LeeSin,Viego,Galio,13003.0,Jinx,Rakan,56.0,True
EUW1_6336853773,Olaf,Zed,Ahri,14170.0,Caitlyn,Lux,43.0,False,Rumble,Nidalee,LeeSin,12190.0,Kaisa,Thresh,51.0,True
EUW1_6336797213,Vayne,Kayn,Ahri,12535.0,Lucian,Nami,40.0,False,Janna,Viego,Gragas,15206.0,Jinx,Nautilus,42.0,True
EUW1_6344261478,Udyr,Draven,Katarina,18290.0,Sivir,Leona,0.0,False,Veigar,Vladimir,Kindred,14259.0,Milio,Janna,0.0,True
EUW1_6344232886,Singed,Draven,Syndra,27750.0,Senna,Chogath,19.0,True,MonkeyKing,LeeSin,Vex,30721.0,Jhin,Seraphine,59.0,False
EUW1_6344207919,Sett,Karthus,Katarina,33905.0,Lucian,Nautilus,22.0,False,Yorick,Draven,Leblanc,23043.0,Jinx,Milio,33.0,True
EUW1_6344173570,Riven,JarvanIV,Vladimir,46749.0,Kaisa,Yuumi,10.0,True,Draven,Belveth,Twitch,30675.0,Varus,Cassiopeia,26.0,False
EUW1_6344136710,Lulu,Fizz,Yuumi,36170.0,Jhin,Pyke,0.0,False,Zed,Morgana,Vex,30562.0,Nasus,Jayce,0.0,True
EUW1_6337056856,Riven,Kayn,Karma,14602.0,Varus,Nautilus,41.0,False,Garen,Belveth,Gragas,29936.0,Zeri,Renata,58.0,True
EUW1_6336971422,Illaoi,Kindred,Talon,14270.0,Vayne,Thresh,52.0,True,Malphite,Nidalee,Renekton,19234.0,Kaisa,Blitzcrank,45.0,False
EUW1_6336962102,Sion,MonkeyKing,Kaisa,457.0,Tristana,Annie,0.0,True,Yone,XinZhao,Viktor,0.0,Xayah,Rakan,0.0,False
EUW1_6336922276,KSante,Nidalee,Singed,20299.0,Aphelios,Annie,68.0,True,Olaf,Viego,Talon,26994.0,Ezreal,Rakan,85.0,False
EUW1_6336904646,Renekton,Nidalee,Cassiopeia,10152.0,Ezreal,Annie,32.0,False,Gnar,Gragas,Talon,6791.0,Zeri,Lulu,25.0,True
EUW1_6343519994,Sion,Diana,Yasuo,21459.0,Ezreal,Rakan,61.0,False,Poppy,LeeSin,Annie,19140.0,Nilah,Milio,81.0,True
EUW1_6343429040,Irelia,Ezreal,Fizz,25976.0,MonkeyKing,Senna,68.0,False,Zed,Nidalee,Chogath,32696.0,Draven,Pyke,148.0,True
EUW1_6343346721,Jayce,Viego,Ahri,23230.0,Caitlyn,Heimerdinger,101.0,False,Irelia,Kayn,Orianna,19800.0,Jinx,Rell,87.0,True
EUW1_6343244100,Gragas,JarvanIV,Sylas,49259.0,Zeri,Soraka,62.0,True,Hecarim,Sion,Leblanc,31445.0,Aphelios,Annie,87.0,False
